# Kangxi Radicals
2FB2	 ⾲ 	KANGXI RADICAL LEEK	• Kangxi Radical 179	≈ 97ED 韭
2FB3	 ⾳ 	KANGXI RADICAL SOUND	• Kangxi Radical 180	≈ 97F3 音
2FB4	 ⾴ 	KANGXI RADICAL LEAF	• Kangxi Radical 181	≈ 9801 頁
2FB5	 ⾵ 	KANGXI RADICAL WIND	• Kangxi Radical 182	≈ 98A8 風
2FB6	 ⾶ 	KANGXI RADICAL FLY	• Kangxi Radical 183	≈ 98DB 飛
2FB7	 ⾷ 	KANGXI RADICAL EAT	• Kangxi Radical 184	≈ 98DF 食
2FB8	 ⾸ 	KANGXI RADICAL HEAD	• Kangxi Radical 185	≈ 9996 首
2FB9	 ⾹ 	KANGXI RADICAL FRAGRANT	• Kangxi Radical 186	≈ 9999 香
2FBA	 ⾺ 	KANGXI RADICAL HORSE	• Kangxi Radical 187	≈ 99AC 馬
2FBB	 ⾻ 	KANGXI RADICAL BONE	• Kangxi Radical 188	≈ 9AA8 骨
2FBC	 ⾼ 	KANGXI RADICAL TALL	• Kangxi Radical 189	≈ 9AD8 高
2FBD	 ⾽ 	KANGXI RADICAL HAIR	• Kangxi Radical 190	≈ 9ADF 髟
2FBE	 ⾾ 	KANGXI RADICAL FIGHT	• Kangxi Radical 191	≈ 9B25 鬥
2FBF	 ⾿ 	KANGXI RADICAL SACRIFICIAL WINE	• Kangxi Radical 192	≈ 9B2F 鬯
2FC0	 ⿀ 	KANGXI RADICAL CAULDRON	• Kangxi Radical 193	≈ 9B32 鬲
2FC1	 ⿁ 	KANGXI RADICAL GHOST	• Kangxi Radical 194	≈ 9B3C 鬼
2FC2	 ⿂ 	KANGXI RADICAL FISH	• Kangxi Radical 195	≈ 9B5A 魚
2FC3	 ⿃ 	KANGXI RADICAL BIRD	• Kangxi Radical 196	≈ 9CE5 鳥
2FC4	 ⿄ 	KANGXI RADICAL SALT	• Kangxi Radical 197	≈ 9E75 鹵
2FC5	 ⿅ 	KANGXI RADICAL DEER	• Kangxi Radical 198	≈ 9E7F 鹿
2FC6	 ⿆ 	KANGXI RADICAL WHEAT	• Kangxi Radical 199	≈ 9EA5 麥
2FC7	 ⿇ 	KANGXI RADICAL HEMP	• Kangxi Radical 200	≈ 9EBB 麻
2FC8	 ⿈ 	KANGXI RADICAL YELLOW	• Kangxi Radical 201	≈ 9EC3 黃
2FC9	 ⿉ 	KANGXI RADICAL MILLET	• Kangxi Radical 202	≈ 9ECD 黍
2FCA	 ⿊ 	KANGXI RADICAL BLACK	• Kangxi Radical 203	≈ 9ED1 黑
2FCB	 ⿋ 	KANGXI RADICAL EMBROIDERY	• Kangxi Radical 204	≈ 9EF9 黹
2FCC	 ⿌ 	KANGXI RADICAL FROG	• Kangxi Radical 205	≈ 9EFD 黽
2FCD	 ⿍ 	KANGXI RADICAL TRIPOD	• Kangxi Radical 206	≈ 9F0E 鼎
2FCE	 ⿎ 	KANGXI RADICAL DRUM	• Kangxi Radical 207	≈ 9F13 鼓
2FCF	 ⿏ 	KANGXI RADICAL RAT	• Kangxi Radical 208	≈ 9F20 鼠
2FD0	 ⿐ 	KANGXI RADICAL NOSE	• Kangxi Radical 209	≈ 9F3B 鼻
2FD1	 ⿑ 	KANGXI RADICAL EVEN	• Kangxi Radical 210	≈ 9F4A 齊
2FD2	 ⿒ 	KANGXI RADICAL TOOTH	• Kangxi Radical 211	≈ 9F52 齒
2FD3	 ⿓ 	KANGXI RADICAL DRAGON	• Kangxi Radical 212	≈ 9F8D 龍
2FD4	 ⿔ 	KANGXI RADICAL TURTLE	• Kangxi Radical 213	≈ 9F9C 龜
2FD5	 ⿕ 	KANGXI RADICAL FLUTE	• Kangxi Radical 214	≈ 9FA0 龠
