character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
郐,"人, 二, 厶, 阝","surname Kuai, name of a feudal state",Kuài,"郐
├── 会
│   ├── 人
│   └── 云
│       ├── 二
│       └── 厶
└── 阝",⿰⿱人⿱二厶阝,,,,,6751
眢,"夕, 㔾, 目","inflamed eyelids, parched",yuān,"眢
├── 夗
│   ├── 夕
│   └── 㔾
└── 目",⿱⿰夕㔾目,,,,,6753
繙,"幺, 釆, 田",to translate,fān,"繙
├── 糹
└── 番
    ├── 釆
    └── 田",⿰⿱幺&CDP-885E;⿱釆田,,,,,6754
盬,"臣, 丿, 一, 十, 口, 皿",covered pot,gǔ,"盬
├── 38025
│   ├── 臣
│   └── 37945
│       ├── 午
│       │   ├── 干
│       │   └── ㇒
│       └── 口
└── 皿",⿱⿰臣⿱⿰丿一⿱十口皿,,,,,6755
飖,"爫, 缶, 几, 㐅",floating in the air,yáo,"飖
├── 37021
│   ├── 爫
│   └── 缶
└── 风",⿰⿱爫缶⿵几㐅,,,,,6756
鳷,"十, 又, 灬","general term for jay, Garrulus lidthi",zhī,"鳷
├── 支
└── 鳥",⿰⿱十又⿹&CDP-8CBB;灬,,,,,6757
祅,"礻, 丿, 大","evil spirit, goblin, witchcraft, variant of 妖[yao1], common erroneous variant of 祆[Xian1] Ormazda",yāo,"祅
├── 礻
└── 夭
    ├── ㇒
    └── 大",⿰礻⿱丿大,,,,,6759
尕,"𠄎, 丿, 小",little (dialect),gǎ,"尕
├── 乃
│   ├── ㇎
│   └── 丿
└── 小",⿱⿹𠄎丿小,,,,,6761
蔌,"艹, 木, 口, 欠","vegetables, surname Su","sù, Sù","蔌
├── 艹
└── 欶
    ├── 束
    │   ├── 木
    │   └── 口
    └── 欠",⿱艹⿰⿻木口欠,,,,,6762
戋,"戈, 一","Small, narrow, tiny, little, damage, remain",jiān,戋,⿻戈一,"① an army with soldiers carrying two spears 戈戈 in hand decimating the enemy; little remains afterwards, the remaining small group flees",,,,6763
铫,"钅, ⼎, ⼉","pan with a long handle, weeding tool, surname Yao","diào, yáo, Yáo","铫
├── 钅
└── 兆
    ├── 儿
    └── 37036
        ├── 冫
        └── 90011
            └── 冫",⿰钅⿲⼎⼉⼎,,,,,6764
袆,"衤, 韦",a queen's ceremonial gowns,huī,"袆
├── 衤
└── 韦",⿰衤韦,,,,,6767
泖,"氵, 𠂎, 卩",still water,mǎo,"泖
├── 氵
└── 卯
    └── 卩",⿰氵⿰𠂎卩,,,,,6769
袪,"衤, 土, 厶",sleeve opening,qū,"袪
├── 衤
└── 去
    ├── 土
    └── 厶",⿰衤⿱土厶,,,,,6770
裲,"衤, 一, 巾, 入",waistcoat,liǎng,"裲
├── 衤
└── 兩
    ├── 一
    └── 37337
        ├── 巾
        └── 𠓜
            └── 入",⿰衤⿱一⿻巾⿰入入,,,,,6773
桤,"木, 山, 己",alder,qī,"桤
├── 木
└── 岂
    ├── 山
    └── 己",⿰木⿱山己,,,,,6776
襻,"衤, 木, 㐅, 丿, 乀, 大, 手","loop, belt, band, to tie together, to stitch together",pàn,"襻
├── 衤
└── 攀
    ├── 棥
    │   ├── 林
    │   │   └── 木
    │   └── 爻
    └── 38350
        ├── 大
        └── 手",⿰衤⿱⿱⿲木⿱㐅⿻丿乀木大手,,,,,6777
鳙,"𠂊, 田, 一, 广, 肀, 月",see 鱅魚|鳙鱼[yong1 yu2],yōng,"鳙
├── 鱼
└── 庸
    ├── 广
    └── 37846
        ├── ⺺
        └── 用",⿰⿳𠂊田一⿸广⿻肀月,,,,,6778
澉,"氵, 乛, 耳, 攵","place name, wash",gǎn,"澉
├── 氵
└── 敢
    ├── 37210
    │   ├── 37209
    │   │   └── 99721
    │   └── 耳
    └── ⺙",⿰氵⿰⿱乛耳攵,,,,,6779
铦,"钅, 丿, 十, 口","fish-spear, sharp",xiān,"铦
├── 钅
└── 舌",⿰钅⿱⿱丿十口,,,,,6780
陁,"阝, 丿, 一, 也","variant of 阤[tuo2], variant of 陀[tuo2]",tuó,"陁
├── 阝
└── 㐌
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── 也
        ├── 乚
        └── 37387
            ├── ㇆
            └── 丨",⿰阝⿱⿰丿一也,,,,,6781
蒡,"艹, 亠, 丷, 冖, 方","Burdock, herb",bàng,"蒡
├── 艹
└── 旁
    ├── 37490
    │   ├── 37159
    │   │   ├── 亠
    │   │   └── 丷
    │   └── 冖
    └── 方",⿱艹⿱⿱⿱亠丷冖方,① plant 艹 which has it's flowers side by side 旁 close to each other,,,,6782
磙,"石, 亠, 八, 厶, 𧘇","roller, to level with a roller",gǔn,"磙
├── 石
└── 衮
    ├── 衣
    └── 公
        ├── 八
        └── 厶",⿰石⿳亠⿱八厶𧘇,,,,,6783
酡,"酉, 宀, 匕",flushed (from drinking),tuó,"酡
├── 酉
└── 它
    ├── 宀
    └── 匕",⿰酉⿱宀匕,,,,,6784
塬,"土, 厂, 白, 小","plateau, esp. Loess Plateau of northwest China 黃土高原|黄土高原[Huang2 tu3 Gao1 yuan2]",yuán,"塬
├── 土
└── 原
    ├── 厂
    └── 𤽄
        ├── 白
        └── 小",⿰土⿸厂⿱白小,,,,,6787
垤,"土, 一, 厶","anthill, mound",dié,"垤
├── 土
└── 至",⿰土⿱⿱一厶土,,,,,6788
铒,"钅, 耳",erbium (chemistry),ěr,"铒
├── 钅
└── 耳",⿰钅耳,,,,,6791
仫,"亻, 丿, 厶","name of tribe, see 仫佬族[Mu4 lao3 zu2], Mulao ethnic group of Guangxi",mù,"仫
├── 亻
└── 么
    ├── 丿
    └── 厶",⿰亻⿱丿厶,,,,,6793
荸,"艹, 十, 冖, 子",see 荸薺|荸荠[bi2 qi2],bí,"荸
├── 艹
└── 孛
    ├── 十
    └── 37813
        ├── 冖
        └── 子",⿱艹⿱⿱十冖子,,,,,6794
蹐,"口, 止, 人, 丷, 八, 月",walk with short steps,jí,"蹐
├── ⻊
└── 脊
    ├── 38033
    │   ├── 人
    │   └── 37036
    │       ├── 冫
    │       └── 90011
    │           └── 冫
    └── 月",⿰⿱口止⿱⿻人⿱丷八月,,,,,6797
鲚,"𠂊, 田, 一, 文, 丿, 丨",Coilia nasus,jì,"鲚
├── 鱼
└── 齐",⿰⿳𠂊田一⿱文⿰丿丨,,,,,6798
铑,"钅, 耂, 匕",rhodium (chemistry),lǎo,"铑
├── 钅
└── 老",⿰钅⿸耂匕,,,,,6799
酐,"酉, 干",anhydride,gān,"酐
├── 酉
└── 干",⿰酉干,,,,,6800
喱,"口, 厂, 里",grain weight,lí,"喱
├── 口
└── 厘
    ├── 厂
    └── 里",⿰口⿸厂里,,,,,6805
轾,"车, 一, 厶, 土","back and lower of chariot, short, low",zhì,"轾
├── 车
└── 至",⿰车⿱⿱一厶土,,,,,6806
揸,"扌, 木, 日, 一",to stretch fingers out,zhā,"揸
├── 扌
└── 查
    ├── 木
    └── 旦
        ├── 日
        └── 一",⿰扌⿱木⿱日一,,,,,6807
廑,"广, 廿, 口, 龶","careful, hut, variant of 僅|仅[jin3], variant of 勤[qin2]","jǐn, qín","廑
├── 28722
│   ├── 广
│   └── 廿
└── 37304
    ├── 中
    │   ├── 口
    │   └── 丨
    └── 王",⿸广⿱廿⿻口龶,,,,,6808
脞,"月, 土, 人","chopped meat, trifles",cuǒ,"脞
├── 月
└── 坐
    ├── 土
    └── 从
        └── 人",⿰月⿻土⿰人人,,,,,6809
疔,"疒, 一, 亅","boil, carbuncle",dīng,"疔
├── 疒
└── 丁
    ├── 一
    └── 亅",⿸疒⿱一亅,,,,,6810
辒,"车, 日, 皿",hearse,wēn,"辒
├── 车
└── 昷
    ├── 日
    └── 皿",⿰车⿱日皿,,,,,6812
鲃,"𠂊, 田, 一, 巴",see 䰾魚|鲃鱼[ba1 yu2],bā,"鲃
├── 鱼
└── 巴
    ├── 𠃜
    │   ├── 丨
    │   └── 47652
    │       ├── 99721
    │       │   └── 匚
    │       └── 丨
    └── 乚",⿰⿳𠂊田一巴,,,,,6813
楗,"木, 廴, 聿","material (such as rocks, earth, bamboo etc) used to hastily repair a dike, (literary) door bar (vertical bar used to prevent the horizontal movement of a door bolt)",jiàn,"楗
├── 木
└── 建
    ├── 廴
    └── 聿",⿰木⿺廴聿,,,,,6815
圬,"土, 一, ㇉","to plaster, whitewash",wū,"圬
├── 土
└── 亏
    ├── 二
    └── ㇉",⿰土⿱一⿱一㇉,,,,,6816
氍,"目, 隹, 毛",woolen rug,qú,"氍
├── 瞿
│   ├── 䀠
│   │   └── 目
│   └── 隹
└── 毛",⿰⿱⿰目目隹毛,,,,,6817
蜾,"虫, 日, 木",Eumenes pomiformis,guǒ,"蜾
├── 虫
└── 果
    ├── 田
    └── 木",⿰虫⿻日木,,,,,6818
糍,"米, 丷, 一, 幺",sticky rice cake,cí,"糍
├── 米
└── 兹
    ├── 䒑
    │   ├── 丷
    │   └── 一
    └── 𢆶
        └── 幺",⿰米⿱⿱丷一⿰幺幺,,,,,6820
皲,"冖, 车, 皮",to chap,jūn,"皲
├── 军
│   ├── 冖
│   └── 车
└── 皮",⿰⿱冖车皮,,,,,6821
礽,"礻, 𠄎, 丿",blessings,réng,"礽
├── 礻
└── 乃
    ├── ㇎
    └── 丿",⿰礻⿹𠄎丿,,,,,6822
牾,"牛, 一, 力, 口","to oppose, to gore",wǔ,"牾
├── 牛
└── 吾
    ├── 五
    │   ├── 一
    │   └── 65460
    │       ├── 力
    │       └── 一
    └── 口",⿰牛⿱⿱一⿱力一口,,,,,6823
瘅,"疒, 丷, 甲, 一","(disease), to hate","dān, dàn","瘅
├── 疒
└── 单
    ├── 丷
    └── 37277
        ├── 甲
        │   ├── 冂
        │   └── 37024
        │       ├── 二
        │       └── 丨
        └── 十",⿸疒⿱丷⿻甲一,,,,,6824
蒴,"艹, 丷, 一, 凵, 丨, 月","pod, capsule",shuò,"蒴
├── 艹
└── 朔
    ├── 屰
    │   ├── 䒑
    │   │   ├── 丷
    │   │   └── 一
    │   └── 屮
    └── 月",⿱艹⿰⿱⿱丷一⿻凵丨月,,,,,6825
窅,"宀, 八, 目","sunken eyes, deep and hollow, remote and obscure, variant of 杳[yao3]",yǎo,"窅
├── 穴
└── 目",⿱⿱宀八目,,,,,6826
裛,"亠, 口, 巴, 𧘇","to wrap and bind, damp, dripping, wet, a book bag",yì,"裛
├── 38193
│   ├── 37045
│   │   ├── 亠
│   │   └── 口
│   └── 巴
│       ├── 𠃜
│       │   ├── 丨
│       │   └── 47652
│       │       ├── 99721
│       │       │   └── 匚
│       │       └── 丨
│       └── 乚
└── 𧘇
    ├── 37143
    │   ├── ㇒
    │   └── ㇗
    └── 90011
        └── 冫",⿳亠⿱口巴𧘇,,,,,6828
訚,"门, 言","respectful, to speak gently, surname Yin","yín, Yín","訚
├── 门
└── 言",⿵门言,,,,,6829
栝,"木, 丿, 十, 口","Juniperus chinensis, measuring-frame",guā,"栝
├── 木
└── 舌",⿰木⿱⿱丿十口,,,,,6831
癔,"疒, 立, 日, 心",see 癔病[yi4 bing4],yì,"癔
├── 疒
└── 意
    ├── 音
    └── 心",⿸疒⿱⿱立日心,,,,,6832
鳇,"𠂊, 田, 一, 白, 王",sturgeon,huáng,"鳇
├── 鱼
└── 皇
    ├── 白
    └── 王",⿰⿳𠂊田一⿱白王,,,,,6833
阨,"阝, 厂, 㔾","defile, pass, in distress",è,"阨
├── 阝
└── 厄
    ├── 厂
    └── 㔾",⿰阝⿸厂㔾,,,,,6834
醌,"酉, 日, 比",quinone (chemistry),kūn,"醌
├── 酉
└── 昆
    ├── 日
    └── 比",⿰酉⿱日比,,,,,6835
蕈,"艹, 覀, 日, 十","mold, mushroom",xùn,"蕈
├── 艹
└── 37079
    ├── 西
    └── 早
        ├── 日
        └── 十",⿱艹⿱覀⿱日十,,,,,6838
矻,"石, 丿, 一, 乙","see 矻矻[ku1 ku1], Taiwan pr. [ku4]",kū,"矻
├── 石
└── 乞
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── ㇠",⿰石⿱⿰丿一乙,,,,,6839
陧,"阝, 日, 土",dangerous,niè,"陧
├── 阝
└── 圼
    ├── 日
    └── 土",⿰阝⿱日土,,,,,6840
馂,"饣, 厶, 八, 夂",remains of a sacrifice or a meal,jùn,"馂
├── 饣
└── 夋
    ├── 厶
    └── 48145
        ├── 八
        └── 夂",⿰饣⿳厶八夂,,,,,6841
铯,"钅, 𠂊, 巴",cesium (chemistry),sè,"铯
├── 钅
└── 色",⿰钅⿱𠂊巴,,,,,6843
鯈,"亻, 丨, 夂, 𠂊, 田, 灬",Leuciscus macropus,chóu,"鯈
├── 39752
│   ├── 亻
│   └── 丨
└── 37926
    ├── 夂
    └── 魚",⿰⿰亻丨⿱夂⿳𠂊田灬,,,,,6844
垴,"土, 亠, 凵, 㐅","small hill, used in geographic names",nǎo,"垴
├── 土
└── 37176
    ├── 亠
    └── 凶
        ├── 凵
        └── 乂
            └── ㇒",⿰土⿱亠⿶凵㐅,,,,,6847
睆,"目, 宀, 一, 兀","good-looking, cute",huǎn,"睆
├── 目
└── 完
    ├── 宀
    └── 元
        ├── 二
        └── 儿",⿰目⿱宀⿱一兀,,,,,6848
磎,"石, 爫, 幺, 大","mountain stream, creek",xī,"磎
├── 石
└── 奚
    ├── 爫
    └── 𡗞
        ├── 幺
        └── 大",⿰石⿱爫⿱幺大,,,,,6850
盝,"彐, 氺, 皿",box case,lù,"盝
├── 录
│   ├── 彐
│   └── 氺
└── 皿",⿱⿱彐氺皿,,,,,6851
羑,"丷, 一, 土, 久",to lead,yǒu,"羑
├── 羊
└── 久
    ├── 勹
    └── ㇏",⿱⿱⿱丷一土久,,,,,6852
邡,"方, 阝",name of a district in Sichuan,Fāng,"邡
├── 方
└── 阝",⿰方阝,,,,,6854
祊,"礻, 方",side altar inside ancestral temple,bēng,"祊
├── 礻
└── 方",⿰礻方,,,,,6860
蝾,"虫, 艹, 冖, 木",salamander,róng,"蝾
├── 虫
└── 荣
    ├── 艹
    └── 37853
        ├── 冖
        └── 木",⿰虫⿱艹⿱冖木,,,,,6862
椠,"车, 斤, 木","wooden tablet, edition",qiàn,"椠
├── 斩
│   ├── 车
│   └── 斤
└── 木",⿱⿰车斤木,,,,,6863
聱,"龶, 丿, 𠃌, 攵, 耳",difficult to pronounce,áo,"聱
├── 敖
│   ├── 37749
│   │   ├── 龶
│   │   │   └── 丰
│   │   └── 万
│   │       ├── 一
│   │       └── 37184
│   │           ├── 丿
│   │           └── ㇆
│   └── ⺙
└── 耳",⿱⿰⿱龶⿰丿𠃌攵耳,,,,,6864
爝,"火, 爫, 罒, 寸",torch,jué,"爝
├── 火
└── 爵
    ├── 爫
    └── 38408
        ├── 罒
        └── 37237
            ├── 37084
            │   ├── 𢀳
            │   │   ├── 𠁣
            │   │   │   ├── 丨
            │   │   │   └── 彐
            │   │   └── 乚
            │   └── 丶
            └── 寸",⿰火⿳爫罒⿰&CDP-8B7C;寸,,,,,6865
腈,"月, 龶",acrylic,jīng,"腈
├── 月
└── 青",⿰月⿱龶月,,,,,6868
磲,"石, 氵, 巨, 木",Tridacna gigas,qú,"磲
├── 石
└── 渠
    ├── 洰
    │   ├── 氵
    │   └── 巨
    │       ├── 匚
    │       └── 99721
    │           └── 匚
    └── 木",⿰石⿱⿰氵巨木,,,,,6869
筈,"竹, 丿, 十, 口",Arrow end,guā,"筈
├── ⺮
└── 舌",⿱竹⿱⿱丿十口,① made from bamboo 竹 looking like a tongue 舌,,,,6873
羼,"尸, 羊","to mix, to blend, to dilute, to adulterate",chàn,"羼
├── 尸
└── 羴
    └── 羊",⿸尸⿱羊⿰羊羊,,,,,6874
顸,"干, 页",dawdling,hān,"顸
├── 干
└── 页",⿰干页,,,,,6875
蝥,"矛, 攵, 虫",variant of 蟊[mao2],máo,"蝥
├── 敄
│   ├── 矛
│   └── ⺙
└── 虫",⿱⿰矛攵虫,,,,,6876
擗,"扌, 尸, 口, 立, 十",to beat the breast,pǐ,"擗
├── 扌
└── 辟
    ├── 𡰪
    │   ├── 尸
    │   └── 口
    └── 辛",⿰扌⿰⿸尸口⿱立十,,,,,6877
蚡,"虫, 八, 刀",(mole),fén,"蚡
├── 虫
└── 分
    ├── 八
    └── 刀",⿰虫⿱八刀,,,,,6879
鄮,"刀, 目, 八, 阝",ancient place name,mào,"鄮
├── 貿
│   ├── 卯
│   │   └── 卩
│   └── 貝
└── 阝",⿰⿱⿰&CDP-88EE;刀⿱目八阝,,,,,6880
跶,"口, 止, 辶, 大","to stumble, to slip, variant of 達|达[da2]",dā,"跶
├── ⻊
└── 达
    ├── 辶
    └── 大",⿰⿱口止⿺辶大,,,,,6881
鲷,"𠂊, 田, 一, ⺆, 土, 口","Pagrosomus major, porgy, sea bream, scup",diāo,"鲷
├── 鱼
└── 周
    ├── 田
    └── 口",⿰⿳𠂊田一⿵⺆⿱土口,① fish 魚 swimming in circles 周 in the sea,,,,6882
汔,"氵, 丿, 一, 乙",near,qì,"汔
├── 氵
└── 乞
    ├── 𠂉
    │   ├── 丿
    │   └── 一
    └── ㇠",⿰氵⿱⿰丿一乙,,,,,6883
臜,"月, 𠂒, 儿, 贝",see 腌臢|腌臜[a1 za1],zā,"臜
├── 月
└── 赞
    ├── 兟
    │   └── 先
    └── 贝",⿰月⿱⿰⿱𠂒儿⿱𠂒儿贝,,,,,6884
珧,"王, ⼎, ⼉",mother-of-pearl,yáo,"珧
├── 王
└── 兆
    ├── 儿
    └── 37036
        ├── 冫
        └── 90011
            └── 冫",⿰王⿲⼎⼉⼎,,,,,6885
钬,"钅, 火",holmium (chemistry),huǒ,"钬
├── 钅
└── 火",⿰钅火,,,,,6887
痖,"疒, 一, ⼋, ⼁, ⼀","mute, incapable of speech, same as 啞|哑[ya3]",yǎ,"痖
├── 疒
└── 亚
    ├── 一
    └── 业
        ├── 37859
        │   ├── 10001
        │   │   └── 丨
        │   └── 丷
        └── 一",⿸疒⿱一⿱⿻⼋⿰⼁⼁⼀,,,,,6888
鼷,"臼, 爫, 幺, 大",mouse,xī,"鼷
├── 鼠
└── 奚
    ├── 爫
    └── 𡗞
        ├── 幺
        └── 大",⿰⿱臼&CDP-8D46;⿱爫⿱幺大,,,,,6889
荈,"艹, 夕, 㐄",Thea sinensis,chuǎn,"荈
├── 艹
└── 舛",⿱艹⿰夕㐄,,,,,6893
毵,"厶, 大, 彡, 毛","long-haired, shaggy",sān,"毵
├── 参
│   ├── 37117
│   │   ├── 厶
│   │   └── 大
│   └── 彡
└── 毛",⿰⿳厶大彡毛,,,,,6894
蟥,"虫, 十, 丨, 一, 由, 八",horse-leech,huáng,"蟥
├── 虫
└── 黄",⿰虫⿳⿱⿻十丨一由八,,,,,6895
鹮,"罒, 一, 口, 𧘇","spoonbill, ibis, family Threskiornithidae",huán,"鹮
├── 睘
│   ├── 罒
│   └── 37993
│       ├── 𠮛
│       │   ├── 一
│       │   └── 口
│       └── 𧘇
│           ├── 37143
│           │   ├── ㇒
│           │   └── ㇗
│           └── 90011
│               └── 冫
└── 鸟",⿰⿳罒⿱一口𧘇⿹&CDP-8964;一,,,,,6896
镟,"钅, 方, 丿, 一, 疋","to shape on a lathe, to peel with a knife, to turn in (a screw)",xuàn,"镟
├── 钅
└── 旋
    ├── 方
    └── 59312
        ├── 𠂉
        │   ├── 丿
        │   └── 一
        └── 疋",⿰钅⿰方⿱⿰丿一疋,,,,,6897
脶,"月, 口, 冂, 人",fingerprint,luó,"脶
├── 月
└── 呙
    ├── 口
    └── 内
        ├── 人
        └── 冂",⿰月⿱口⿻冂人,,,,,6898
睟,"目, 亠, 人, 十","bright eye, clear",suì,"睟
├── 目
└── 卒
    ├── 亠
    └── 38261
        ├── 从
        │   └── 人
        └── 十",⿰目⿱⿱亠⿰人人十,,,,,6900
纚,"幺, 一, 冂, 广, コ, 丨, 比","(literary) to bind, to fasten, rope, silk headband, Taiwan pr. [shi3]","lí, xǐ","纚
├── 糹
└── 麗
    ├── 丽
    │   ├── 一
    │   └── 38458
    │       └── 37554
    └── 鹿",⿰⿱幺&CDP-885E;⿱⿰⿱一⿵冂一⿱一⿵冂一⿸⿸广⿻コ⿰丨丨比,,,,,6901
褕,"衤, 人, 一, 月, 刂",loose garment,yú,"褕
├── 衤
└── 俞
    ├── 亼
    │   ├── 人
    │   └── 一
    └── 刖
        ├── 月
        └── 刂",⿰衤⿱⿱人一⿰月刂,,,,,6902
酅,"山, 隹, 冂, 八, 口, 阝",place name,xī,"酅
├── 巂
│   ├── 山
│   └── 43236
│       ├── 隹
│       └── 37366
│           ├── 冂
│           └── 㕣
│               ├── 八
│               └── 口
└── 阝",⿰⿱⿱山隹⿵冂⿱八口阝,,,,,6903
枧,"木, 见","bamboo conduit, wooden peg, spout, same as 筧|笕",jiǎn,"枧
├── 木
└── 见",⿰木见,,,,,6906
褧,"耳, 火, 衣",monotone garment with no lining,jiǒng,"褧
├── 耿
│   ├── 耳
│   └── 火
└── 衣",⿱⿰耳火衣,,,,,6908
罝,"罒, 月, 一",net for catching rabbits,jū,"罝
├── 罒
└── 且
    ├── 月
    └── 一",⿱罒⿻月一,,,,,6909
輴,"車, 𠂆, 十, 目",hearse,chūn,"輴
├── 車
└── 盾
    ├── ⺁
    └── 𥃭
        ├── 十
        └── 目",⿰車⿸𠂆⿱十目,,,,,6910
駹,"灬, 尢, 丶, 彡",black horse with a white face,máng,"駹
├── 馬
└── 尨
    ├── 37294
    │   ├── 𠂇
    │   │   └── 十
    │   └── 丶
    └── 38237
        ├── 乚
        └── 彡",⿰⿹&CDP-896A;灬⿷⿺尢丶彡,,,,,6911
窋,"宀, 八, 凵, 丨",in a hole,zhú,"窋
├── 穴
└── 出
    └── 山",⿱⿱宀八⿱⿻凵丨凵,,,,,6914
猡,"犭, 罒, 夕",name of a tribe,luó,"猡
├── 犭
└── 罗
    ├── 罒
    └── 夕",⿰犭⿱罒夕,,,,,6915
鲞,"丷, 二, 人, 𠂊, 田, 一",dried fish,xiǎng,"鲞
├── 龹
│   ├── 半
│   │   ├── 37024
│   │   │   ├── 二
│   │   │   └── 丨
│   │   └── 丷
│   └── 八
└── 鱼",⿱⿱丷⿻二人⿳𠂊田一,,,,,6916
劁,"隹, 灬, 刂",to neuter livestock,qiāo,"劁
├── 焦
│   ├── 隹
│   └── 灬
└── 刂",⿰⿱隹灬刂,,,,,6919
漶,"氵, 口, 丨, 心",indecipherable,huàn,"漶
├── 氵
└── 患
    ├── 串
    │   └── 中
    └── 心",⿰氵⿱⿻口⿻口丨心,,,,,6920
脰,"月, 豆","neck, throat",dòu,"脰
├── 月
└── 豆",⿰月豆,,,,,6921
滠,"氵, 耳, 又",name of a river,shè,"滠
├── 氵
└── 聂
    ├── 耳
    └── 双
        └── 又",⿰氵⿱耳⿰又又,,,,,6922
桄,"木, ⺌, 兀","see 桄榔[guang1 lang2], woven wood and bamboo utensil, classifier for threads and strings","guāng, guàng","桄
├── 木
└── 光
    ├── ⺌
    └── 兀",⿰木⿱⺌兀,,,,,6923
腧,"月, 人, 一, 刂","insertion point in acupuncture, acupoint",shù,"腧
├── 月
└── 俞
    ├── 亼
    │   ├── 人
    │   └── 一
    └── 刖
        ├── 月
        └── 刂",⿰月⿱⿱人一⿰月刂,,,,,6924
氙,"气, 山",xenon (chemistry),xiān,"氙
├── 气
└── 山",⿹气山,,,,,6925
羖,"羊, 𠘧, 又",black ewe,gǔ,"羖
├── ⺶
└── 殳",⿰羊⿱𠘧又,,,,,6928
軨,"車, 人, 丶, 厶",lattice work on front and sides,líng,"軨
├── 車
└── 令
    ├── 亽
    │   ├── 人
    │   └── 丶
    └── 龴
        └── 厶",⿰車⿱⿱人丶厶,,,,,6929
颟,"艹, 一, 冂, 人, 页",dawdling,mān,"颟
├── 94561
│   ├── 艹
│   └── 两
│       ├── 一
│       └── 37671
│           ├── 从
│           │   └── 人
│           └── 冂
└── 页",⿰⿱艹⿱一⿻冂⿰人人页,,,,,6930
岙,"丿, 大, 山","plain in the middle of the mountains, used in place names, esp. in 浙江[Zhe4 jiang1] and 福建[Fu2 jian4]",ào,"岙
├── 夭
│   ├── ㇒
│   └── 大
└── 山",⿱⿱丿大山,,,,,6931
邅,"辶, 亠, 囗, 口, 日, 一",not making progress,zhān,"邅
├── 辶
└── 亶
    ├── 亠
    └── 37866
        ├── 回
        │   └── 囗
        └── 旦
            ├── 日
            └── 一",⿺辶⿱⿱亠⿴囗口⿱日一,,,,,6934
雰,"雨, 八, 刀","misty, foggy",fēn,"雰
├── 雨
└── 分
    ├── 八
    └── 刀",⿱雨⿱八刀,,,,,6935
簨,"竹, 巳, 十, 丨, 一, 八",cross-beam for hanging bells,sǔn,"簨
├── ⺮
└── 巽
    ├── 37142
    │   └── 巳
    └── 共
        ├── 龷
        │   ├── 艹
        │   └── 一
        └── 八",⿱竹⿱⿰巳巳⿱⿱⿻十丨一八,,,,,6938
鄀,"艹, 丿, 一, 口, 阝",place name,ruò,"鄀
├── 若
│   ├── 艹
│   └── 右
│       ├── 𠂇
│       │   └── 十
│       └── 口
└── 阝",⿰⿱艹⿸⿻丿一口阝,,,,,6943
桕,"木, 臼","Tallow tree, Sapium sebiferum",jiù,"桕
├── 木
└── 臼",⿰木臼,,,,,6944
瞢,"艹, 罒, 冖, 目","eyesight obscured, to feel ashamed",méng,"瞢
├── 艹
└── 38146
    ├── 罒
    └── 37860
        ├── 冖
        └── 目",⿳⿱艹罒冖目,,,,,6945
喹,"口, 大, 土",see 喹啉[kui2 lin2],kuí,"喹
├── 口
└── 奎
    ├── 大
    └── 圭
        └── 土",⿰口⿱大⿱土土,,,,,6951
禛,"礻, 十, 月, 一, 八",to receive blessings in a sincere spirit,zhēn,"禛
├── 礻
└── 真
    ├── 十
    └── 具
        ├── 目
        └── 35189
            ├── 一
            └── 八",⿰礻⿱十⿱⿴⿻月一一八,,,,,6956
揠,"扌, 匚, 日, 女","to eradicate, to pull up",yà,"揠
├── 扌
└── 匽
    ├── 匚
    └── 妟
        ├── 日
        └── 女",⿰扌⿷匚⿱日女,,,,,6957
猁,"犭, 禾, 刂",a kind of monkey,lì,"猁
├── 犭
└── 利
    ├── 禾
    └── 刂",⿰犭⿰禾刂,,,,,6958
猞,"犭, 人, 丿, 十, 口",see 猞猁[she1 li4],shē,"猞
├── 犭
└── 舍
    ├── 人
    └── 38262
        ├── 干
        └── 口",⿰犭⿱人⿱⿱丿十口,,,,,6959
螓,"虫, 𡗗, 禾",small cicada with a square head,qín,"螓
├── 虫
└── 秦
    ├── 𡗗
    │   ├── 丰
    │   │   ├── 三
    │   │   │   ├── 一
    │   │   │   └── 二
    │   │   └── 丨
    │   └── 八
    └── 禾",⿰虫⿱𡗗禾,,,,,6960
瘌,"疒, 木, 口, 刂","scabies, scald-head",là,"瘌
├── 疒
└── 剌
    ├── 束
    │   ├── 木
    │   └── 口
    └── 刂",⿸疒⿰⿻木口刂,,,,,6961
隩,"阝, 丿, 冂, 米, 大","bay, cove",yù,"隩
├── 阝
└── 奥
    ├── 37258
    │   ├── 宀
    │   └── 米
    └── 大",⿰阝⿱⿵⿱丿冂米大,,,,,6962
酖,"酉, 巾, 乚","addicted to liquor, poisonous, to poison","dān, zhèn","酖
├── 酉
└── 冘
    ├── 巾
    └── 乚",⿰酉⿻巾乚,,,,,6963
蟜,"虫, 丿, 大, 口, 冂","(insect), surname Jiao","jiǎo, Jiǎo","蟜
├── 虫
└── 喬
    ├── 夭
    │   ├── ㇒
    │   └── 大
    └── 37868
        ├── 口
        └── 冋
            ├── 冂
            └── 口",⿰虫⿱⿱⿱丿大口⿵冂口,,,,,6964
