character,components,meaning,pinyin,tree,decomposition,story,appears_in,my_story,picture,frequency_rank
伽,"亻, 力, 口","Nursing, attending, entertainer",jiā,"伽
├── 亻
└── 加
    ├── 力
    └── 口",⿰亻⿰力口,① increasing strength 加 of people 亻: nursing or entertaining,,,,2882
裘,"一, 氺, 丶, 衣","fur, fur coat, surname Qiu","qiú, Qiú","裘
├── 求
│   ├── 37294
│   │   ├── 𠂇
│   │   │   └── 十
│   │   └── 丶
│   └── 氺
└── 衣",⿱⿺⿻一氺丶衣,,,,,2883
啤,"口, 白, 丿, 十","Beer, character used in transliterating",pí,"啤
├── 口
└── 卑
    ├── 55163
    │   ├── 甲
    │   │   ├── 冂
    │   │   └── 37024
    │   │       ├── 二
    │   │       └── 丨
    │   └── 丶
    └── 十",⿰口⿱⿻白丿十,① humble 卑 liquid pleasing the mouth 口,,,,2884
晒,"日, 西","Dry in sun, expose to sun",shài,"晒
├── 日
└── 西",⿰日西,① dried in the beautiful and magnificent 麗 sun 日 ② when the sun 日 has reached the west 西 your stuff has been exposed and dried in the sun,,,,2885
闺,"门, 土","small arched door, boudoir, lady's chamber, by ext. women",guī,"闺
├── 门
└── 圭
    └── 土",⿵门⿱土土,,,,,2886
拣,"扌, 𫠣","to choose, to pick, to sort out, to pick up",jiǎn,"拣
├── 扌
└── 37276
    ├── 七
    │   ├── 乚
    │   └── 一
    └── 38229
        ├── ㇆
        └── 八",⿰扌𫠣,,,,,2887
嗟,"口, 羊, 工","Sigh, alas",jiē,"嗟
├── 口
└── 差
    ├── 羊
    └── 工",⿰口⿸羊工,① labourer 差 sighing with his mouth 口 while cutting up an animal,,,,2888
懈,"忄, 角, 刀, 牛","lax, negligent",xiè,"懈
├── 忄
└── 解
    ├── 角
    └── 37363
        ├── 刀
        └── 牛",⿰忄⿰角⿱刀牛,,,,,2889
忿,"八, 刀, 心","anger, indignation, hatred",fèn,"忿
├── 分
│   ├── 八
│   └── 刀
└── 心",⿱⿱八刀心,,,,,2890
旭,"九, 日","Rising sun, brilliance, radiant",xù,"旭
├── 九
│   ├── 丿
│   └── ㇈
└── 日",⿺九日,① brightness of nine 九 rising suns 日,,,,2891
讥,"讠, 几",to ridicule,jī,"讥
├── 讠
└── 几",⿰讠几,,,,,2892
赈,"贝, 厂, 二, 𠄌, 乀, 丿","Relieve, aid distressed, rich, flourish",zhèn,"赈
├── 贝
└── 辰",⿰贝⿸厂⿱二⿰𠄌⿺乀丿,① man handling a hoe 辰 thus earning money 貝: rich and relieved,,,,2893
浆,"丬, 夕, 水","broth, serum, to starch, starch paste","jiāng, jiàng","浆
├── 37194
│   ├── 丬
│   └── 夕
└── 水",⿱⿰丬夕水,,,,,2894
跋,"口, 止, 丿, 一, 又, 丶","postscript, to trek across mountains",bá,"跋
├── ⻊
└── 犮
    ├── 37294
    │   ├── 𠂇
    │   │   └── 十
    │   └── 丶
    └── 又",⿰⿱口止⿺⿸⿻丿一又丶,,,,,2895
